(30, -4.12)
(80, -4.12)
(130, -4.13)
(180, -4.12)
(230, -4.13)
(280, -4.11)
(330, -4.11)
(380, -4.13)
(430, -4.13)
(480, -4.12)
(530, -4.13)
(580, -4.12)
(630, -4.11)
(680, -4.11)
(730, -4.12)
(780, -4.12)
(830, -4.12)
(880, -4.12)
(930, -4.12)
(980, -4.14)
(1030, -4.13)
(1080, -4.12)
(1130, -4.13)
(1180, -4.14)
(1230, -4.13)
(1280, -4.13)
(1330, -4.13)
(1380, -4.12)
(1430, -4.14)
(1480, -4.12)
(1530, -4.12)
(1580, -4.11)
(1630, -4.14)
(1680, -4.11)
(1730, -4.12)
(1780, -4.12)
(1830, -4.12)
(1880, -4.12)
(1930, -4.12)
(1980, -4.12)
(2030, -4.12)
(2080, -4.12)
(2130, -4.11)
(2180, -4.12)
(2230, -4.13)
(2280, -4.13)
(2330, -4.12)
(2380, -4.12)
(2430, -4.12)
(2480, -4.13)
(2530, -4.13)
(2580, -4.12)
(2630, -4.13)
(2680, -4.13)
(2731, -4.12)
(2781, -4.12)
(2831, -4.13)
(2881, -4.13)
(2931, -4.12)
(2981, -4.13)
(3031, -4.13)
(3081, -4.12)
(3131, -4.11)
(3181, -4.12)
(3231, -4.13)
(3281, -4.12)
(3331, -4.11)
(3381, -4.11)
(3431, -4.1)
(3481, -4.13)
(3531, -4.11)
(3581, -4.12)
(3631, -4.11)
(3681, -4.13)
(3731, -4.11)
(3781, -4.12)
(3831, -4.12)
(3881, -4.14)
(3931, -4.11)
(3981, -4.12)
(4031, -4.14)
(4081, -4.13)
(4131, -4.12)
(4182, -4.12)
(4232, -4.12)
(4282, -4.13)
(4332, -4.12)
(4382, -4.11)
(4432, -4.12)
(4482, -4.12)
(4532, -4.11)
(4582, -4.13)
(4632, -4.13)
(4682, -4.12)
(4732, -4.12)
(4782, -4.12)
(4832, -4.11)
(4882, -4.13)
(4932, -4.13)
(4982, 2.06)
(5032, 12.23)
(5082, 19.5)
(5132, 19.49)
(5182, 7.88)
(5232, -3.29)
(5282, -4.12)
(5332, -4.12)
(5382, -4.1)
(5432, -4.11)
(5482, -4.12)
(5532, -4.12)
(5582, -4.11)
(5632, -4.12)
(5682, -4.13)
(5732, -4.13)
(5782, -4.12)
(5832, -4.13)
(5882, -4.12)
(5932, -4.13)
(5982, -4.12)
(6032, -4.12)
(6082, -4.1)
(6132, -4.13)
(6182, -4.11)
(6232, -4.12)
(6282, -4.13)
(6332, -4.12)
(6382, -4.12)
(6432, -4.11)
(6482, -4.12)
(6532, -4.13)
(6582, -4.11)
(6632, -4.1)
(6682, -4.11)
(6732, -4.13)
(6782, -4.11)
(6832, -4.12)
(6882, -4.11)
(6932, -4.12)
(6982, -4.13)
(7032, -4.12)
(7083, -4.11)
(7133, -4.11)
(7183, -4.13)
(7233, -4.11)
(7283, -4.12)
(7333, -4.13)
(7383, -4.14)
(7433, -4.12)
(7483, -4.11)
(7533, -4.13)
(7583, -4.13)
(7633, -4.11)
(7683, -4.11)
(7733, -4.12)
(7783, -4.13)
(7833, -4.12)
(7883, -4.11)
(7933, -4.14)
(7983, -4.12)
(8033, -4.11)
(8083, -4.12)
(8133, -4.12)
(8183, -4.14)
(8233, -4.1)
(8283, -4.13)
(8333, -4.1)
(8383, -0.53)
(8433, 14.62)
(8483, 21.83)
(8534, 50.58)
(8584, 83.03)
(8634, 111.52)
(8684, 122.92)
(8734, 132.73)
(8784, 147.9)
(8834, 154.54)
(8884, 153.09)
(8934, 151.16)
(8984, 149.23)
(9034, 146.03)
(9084, 158.85)
(9134, 170.71)
(9184, 160.24)
(9234, 155.63)
(9284, 153.16)
(9334, 154.38)
(9384, 153.38)
(9434, 154.23)
(9484, 155.24)
(9534, 156.13)
(9584, 156.78)
(9634, 156.6)
(9684, 156.05)
(9734, 156.04)
(9784, 156.33)
(9834, 156.45)
(9884, 156.48)
(9934, 155.59)
(9984, 156.69)
(10034, 156.92)
(10084, 155.64)
(10134, 156.51)
(10184, 156.62)
(10234, 156.16)
(10284, 156.12)
(10334, 156.59)
(10384, 156.37)
(10434, 156.36)
(10484, 156.03)
(10534, 156.12)
(10584, 156.49)
(10634, 156.44)
(10684, 156.29)
(10734, 156.31)
(10784, 156.34)
(10834, 156.25)
(10884, 156.38)
(10934, 156.32)
(10984, 156.2)
(11034, 156.26)
(11084, 156.33)
(11134, 156.31)
(11184, 156.41)
(11234, 156.07)
(11284, 156.14)
(11334, 156.46)
(11384, 156.29)
(11435, 156.27)
(11485, 156.32)
(11535, 156.28)
(11585, 156.21)
(11635, 156.24)
(11685, 156.34)
(11735, 156.33)
(11785, 156.26)
(11835, 156.24)
(11885, 156.45)
(11935, 156.46)
(11985, 156.06)
(12035, 156.25)
(12085, 156.44)
(12135, 156.34)
(12185, 156.17)
(12235, 156.33)
(12285, 156.37)
(12335, 156.24)
(12385, 156.38)
(12435, 156.35)
(12485, 156.33)
(12535, 156.38)
(12585, 156.32)
(12635, 156.27)
(12685, 156.37)
(12735, 156.1)
(12785, 156.25)
(12835, 156.36)
(12886, 156.36)
(12936, 156.21)
(12986, 156.3)
(13036, 156.28)
(13086, 156.23)
(13136, 156.38)
(13186, 156.28)
(13236, 156.31)
(13286, 156.34)
(13336, 156.28)
(13386, 156.36)
(13436, 156.46)
(13486, 156.35)
(13536, 156.04)
(13586, 156.35)
(13636, 156.52)
(13686, 156.29)
